#Insert size (bp)	insert size
722.0	2753.0
723.0	2729.0
724.0	2715.0
725.0	2555.0
726.0	2523.0
727.0	2633.0
728.0	2453.0
729.0	2383.0
730.0	2384.0
731.0	2427.0
732.0	2310.0
733.0	2140.0
734.0	2231.0
735.0	2170.0
736.0	2166.0
737.0	2085.0
738.0	2136.0
739.0	2128.0
740.0	1940.0
741.0	1971.0
742.0	2013.0
743.0	2065.0
744.0	1878.0
745.0	1756.0
746.0	1743.0
747.0	1759.0
748.0	1787.0
749.0	1771.0
750.0	1651.0
751.0	1668.0
752.0	1558.0
753.0	1607.0
754.0	1529.0
755.0	1532.0
756.0	1641.0
757.0	1342.0
758.0	1425.0
759.0	1484.0
760.0	1385.0
761.0	1402.0
762.0	1294.0
763.0	1468.0
764.0	1338.0
765.0	1276.0
766.0	1311.0
767.0	1281.0
768.0	1269.0
769.0	1140.0
770.0	1119.0
771.0	1039.0
772.0	1118.0
773.0	1089.0
774.0	1073.0
775.0	1094.0
776.0	1066.0
777.0	957.0
778.0	1102.0
779.0	1007.0
780.0	921.0
781.0	1105.0
782.0	926.0
783.0	938.0
784.0	904.0
785.0	894.0
786.0	899.0
787.0	1295.0
788.0	918.0
789.0	807.0
790.0	767.0
791.0	850.0
792.0	874.0
793.0	843.0
794.0	799.0
795.0	873.0
796.0	774.0
797.0	727.0
798.0	652.0
799.0	755.0
800.0	2873.0
801.0	738.0
802.0	633.0
803.0	583.0
804.0	645.0
805.0	611.0
806.0	567.0
807.0	565.0
808.0	597.0
809.0	517.0
810.0	573.0
811.0	560.0
812.0	530.0
813.0	477.0
814.0	538.0
815.0	484.0
816.0	480.0
817.0	487.0
818.0	449.0
819.0	456.0
820.0	466.0
821.0	471.0
822.0	476.0
823.0	464.0
824.0	479.0
825.0	1347.0
826.0	428.0
827.0	443.0
828.0	426.0
829.0	407.0
830.0	428.0
831.0	395.0
832.0	406.0
833.0	390.0
834.0	285.0
835.0	340.0
836.0	406.0
837.0	266.0
838.0	162.0
839.0	159.0
840.0	224.0
841.0	160.0
842.0	96.0
843.0	92.0
844.0	103.0
845.0	125.0
846.0	95.0
847.0	108.0
848.0	100.0
849.0	130.0
850.0	93.0
851.0	119.0
852.0	106.0
853.0	89.0
854.0	82.0
855.0	101.0
856.0	97.0
857.0	84.0
858.0	82.0
859.0	106.0
860.0	112.0
861.0	103.0
862.0	91.0
863.0	316.0
864.0	80.0
865.0	95.0
866.0	69.0
