#Position (bp)	insert size
1.869671963E9	369.9985185681166
1.875732488E9	369.70433045951035
1.881793013E9	370.7360135288272
1.887853538E9	368.37721971209413
1.893914063E9	367.9211297650258
1.899974588E9	368.88292578522123
1.905072828E9	368.7670357856315
1.9081030905E9	339.1007359341616
1.912095638E9	371.11606500918685
1.918156163E9	372.02227822757686
1.924216688E9	370.0860861813807
1.930277213E9	369.56319685876724
1.936337738E9	369.0602967492397
1.942398263E9	368.3463236355624
1.948458788E9	361.64073395388056
1.9517024095E9	346.91144027734003
1.954732672E9	370.0411455353007
1.960579838E9	370.7216458997392
1.966640363E9	368.9109254335992
1.972700888E9	370.2000486419346
1.978761413E9	371.06464386821125
1.984821938E9	373.4526513878621
1.990882463E9	372.6914070444223
1.99470617E9	369.15300851079644
1.9977364325E9	328.770857641968
2.003003513E9	371.897723345238
2.009064038E9	371.37885786734523
2.015124563E9	369.99051914964707
2.021185088E9	369.4264566823709
2.027245613E9	365.2796973411675
2.033306138E9	367.45874018611784
2.0376677585E9	365.9459748319255
2.040698021E9	365.58339733040776
2.045427188E9	368.8920813846584
2.051487713E9	368.1605213783299
2.057548238E9	363.488505563881
2.063608763E9	369.89842582232205
2.069669288E9	370.34400458684195
2.075729813E9	369.465805231642
2.08062241E9	365.0850690381465
2.0836526725E9	368.6812170455528
2.087850863E9	368.5745089852652
2.093911388E9	369.36113761340573
2.099971913E9	370.8914751286449
2.106032438E9	371.0708522141887
2.112092963E9	370.1008048684727
2.118153488E9	371.60294393986845
2.122814749E9	338.74731309327683
2.1258450115E9	332.3536015258155
2.130274538E9	367.4040263460262
2.136335063E9	332.01686264698526
2.142395588E9	369.7592179504002
2.148456113E9	367.0783354122143
2.154516638E9	366.8700096811775
2.160577163E9	364.4937302574902
2.164333346E9	359.76876075731496
2.1673636085E9	365.8294762484775
2.172698213E9	369.0685395649768
2.178758738E9	370.1471472769069
2.184819263E9	370.57354775131466
2.190879788E9	371.5610491462003
2.196940313E9	370.94488296011673
2.200471474E9	373.72113289760347
2.2035017365E9	358.9447541975977
2.209061363E9	369.1961496688869
2.215121888E9	368.1509495529596
2.221182413E9	368.8299791048059
2.227242938E9	368.92795638152865
2.233303463E9	365.8129749750518
2.239363988E9	358.544079867735
2.245424513E9	370.4684359546977
2.251485038E9	369.64856108597286
2.2550298675E9	360.5128278766992
2.256716793E9	364.6606942704556
2.2592324885E9	368.25023353136794
2.263606088E9	370.0192504643372
2.2680379885E9	359.06271374211263
2.271068251E9	369.93980150264355
2.275150289E9	368.74473335372693
2.2781805515E9	371.2036476650037
2.2810649335E9	370.1351772177832
2.284095196E9	358.8873965041398
2.286863889E9	370.0246557878633
2.2898941515E9	367.4572191819903
2.292569301E9	366.209800852248
2.2955995635E9	369.53177319741053
2.298023116E9	370.4655155829165
2.3010533785E9	360.16328136383504
2.3032761955E9	364.2923631268141
2.305726498E9	369.7039792505631
2.3084800655E9	359.2503035032952
2.310562795E9	355.89946893911326
2.3135930575E9	360.3577287874904
2.3153597735E9	366.4629792860291
2.3173218515E9	366.67701335380735
2.320112891E9	367.5534171747967
2.3218157355E9	356.77930535455863
2.324104308E9	366.02026513093557
2.3264999105E9	370.51311895837443
2.3281018815E9	371.85022678885497
2.3305262675E9	359.65843521768954
2.332696249E9	370.8141897709661
2.3340637585E9	370.20679250578905
2.3361446245E9	367.2138085054034
2.338413254E9	358.10707734979644
2.3396969045E9	370.6498127340824
2.341282827E9	367.877139550466
2.343768183E9	370.09299151132535
2.345212523E9	373.5058383233533
2.3464412305E9	346.5292467557166
2.348664199E9	369.8752755757775
2.3506764065E9	373.0415193096619
2.351829762E9	371.72941506522653
2.3532287305E9	346.17577302253136
2.35533412E9	364.6648151025482
2.356965414E9	368.8509797964454
2.3579923135E9	366.8214360918088
2.3594256075E9	367.89592877967516
2.3613898805E9	370.59807194244604
2.362986849E9	368.676267281106
2.363964524E9	359.0173341848371
2.3652977505E9	370.3347497012349
2.367184152E9	329.3854999465425
2.368881188E9	371.9261634426689
2.3697565645E9	374.2052194543298
2.3706984965E9	353.70748636588996
2.372334567E9	362.77178627760253
2.3739034665E9	368.67554990227404
2.3752063695E9	371.28462294833975
2.375970559E9	372.51008814887365
2.3769485995E9	363.4933523856859
2.378384549E9	336.1280296255532
2.379784425E9	370.6385279730969
2.3811339795E9	369.2173974142777
2.381829853E9	379.0769230769231
2.3825553845E9	367.3011134987302
2.3839077945E9	356.58772027042005
2.385231647E9	364.9386417567517
2.3865327585E9	367.7128094302554
2.387513637E9	362.9235319578704
2.3881178915E9	361.6801983266192
2.388976153E9	365.7648227478736
2.390135233E9	369.5457047779467
2.3912785605E9	370.3967213114754
2.3924167735E9	371.37987555720656
2.393445447E9	369.93051398828885
2.3939914115E9	371.7836990595611
2.394571339E9	366.28623230787224
2.3955587125E9	365.0743521655526
2.3965083185E9	346.0307488562925
2.3973815095E9	370.3038911165076
2.398204472E9	353.0037474593496
2.399008019E9	323.92617957041847
2.3996857855E9	371.44776119402985
2.400080534E9	377.6316568047337
2.400576461E9	365.2719678788998
2.401268413E9	340.85816140183056
